"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"CB01_01";"CB01_02";"CB01_03";"CB01_04";"CB01_05";"CB01_06";"CB01_07";"CB01_08";"CB01_09";"CB01_10";"D001";"D002";"D003_01";"D004_01";"DT01_01";"DT01_02";"DT01_03";"DT01_04";"DT01_05";"DT01_06";"DT01_07";"DT01_08";"DT01_09";"DT01_10";"DT01_11";"DT01_12";"DT01_13";"DT01_14";"DT01_15";"TIME001";"TIME002";"TIME003";"TIME004";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
380;;;"base";"interview";2025-12-22 11:27:31;2;2;2;2;3;2;4;2;3;2;2;4;"32";4;4;4;4;4;4;4;2;3;3;3;4;4;4;4;3;3;56;105;28;192;;2025-12-22 11:30:43;"complete";1;0;4;4;0;0;1.49
382;;;"base";"interview";2025-12-22 17:24:04;3;2;1;3;3;3;3;4;3;2;1;4;"18";5;5;6;1;5;6;3;3;4;3;1;7;6;7;4;7;15;83;307;56;461;;2025-12-22 17:31:45;"complete";1;0;4;4;0;0;0.55
383;;;"base";"interview";2025-12-22 17:24:27;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;12;39;;;51;;2025-12-22 17:25:18;;0;0;2;2;100;100;1.21
388;;;"base";"interview";2025-12-22 23:18:19;4;4;5;4;5;5;4;5;5;4;2;1;"22";6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;83;56;14;161;;2025-12-22 23:21:00;"complete";1;0;4;4;0;0;1.45
391;;;"base";"interview";2025-12-23 16:56:35;2;1;2;3;2;3;3;3;2;2;1;2;"26";6;5;6;6;6;6;3;4;3;2;2;6;6;3;5;3;22;56;127;20;225;;2025-12-23 17:00:20;"complete";1;0;4;4;0;0;0.94
394;;;"base";"interview";2025-12-24 14:41:35;2;4;3;3;3;4;4;4;4;3;2;2;"31";4;5;6;5;5;6;5;2;2;3;4;4;5;5;5;2;3;45;83;13;144;;2025-12-24 14:43:59;"complete";1;0;4;4;0;0;1.87
397;;;"base";"interview";2025-12-24 23:20:00;3;2;3;4;5;4;3;3;4;2;2;3;"31";5;6;5;4;5;5;5;3;3;5;5;3;5;6;7;6;3;28;59;17;107;;2025-12-24 23:21:47;"complete";1;0;4;4;0;0;2.17
398;;;"base";"interview";2025-12-25 17:32:11;2;4;1;3;4;2;5;3;2;3;1;3;"18";6;2;3;4;3;6;1;1;1;2;1;1;3;6;6;6;4;71;122;19;216;;2025-12-25 17:35:47;"complete";1;0;4;4;0;0;1.31
402;;;"base";"interview";2025-12-27 02:33:19;2;1;1;4;4;2;2;3;2;1;1;4;"32";5;5;5;3;2;4;4;3;4;3;4;4;4;5;5;2;12;54;173;31;270;;2025-12-27 02:37:49;"complete";1;0;4;4;0;0;0.85
406;;;"base";"interview";2025-12-27 12:28:14;5;1;2;2;4;5;4;4;4;4;2;3;"22";5;4;5;2;5;2;2;2;2;2;2;3;6;6;5;2;11;41;208;15;275;;2025-12-27 12:32:49;"complete";1;0;4;4;0;0;1.13
407;;;"base";"interview";2025-12-27 14:24:12;5;5;5;4;5;4;5;5;5;5;2;2;"87";6;7;7;7;7;7;2;4;4;1;1;7;6;6;7;1;4;191;278;47;397;;2025-12-27 14:32:52;"complete";1;0;4;4;0;0;0.83
408;;;"base";"interview";2025-12-27 14:42:32;2;1;1;5;5;1;4;5;1;1;1;4;"85";5;7;3;2;1;6;1;1;1;6;1;1;2;7;7;1;3;128;210;54;395;;2025-12-27 14:49:07;"complete";1;0;4;4;0;0;1.06
409;;;"base";"interview";2025-12-27 15:21:20;2;1;3;4;4;4;2;3;4;3;1;3;"18";5;4;1;1;6;2;3;2;4;4;2;1;6;2;1;2;43;422;319;41;471;;2025-12-27 15:35:05;"complete";1;0;4;4;0;0;0.33
410;;;"base";"interview";2025-12-27 16:42:33;3;1;1;3;2;2;3;3;2;2;2;3;"29";4;6;6;5;5;6;3;3;3;3;3;1;2;5;5;3;2;42;68;12;124;;2025-12-27 16:44:37;"complete";1;0;4;4;0;0;2.11
411;;;"base";"interview";2025-12-27 21:57:24;2;4;2;2;2;2;2;2;3;3;1;3;"37";4;4;4;4;4;4;3;3;3;4;3;3;5;5;5;3;2;75;149;11;237;;2025-12-27 22:01:21;"complete";1;0;4;4;0;0;1.7
415;;;"base";"interview";2025-12-28 14:39:03;5;5;5;3;5;5;5;4;5;5;2;3;"38";6;3;5;5;7;6;3;4;5;3;5;3;3;1;2;3;3;19;61;16;99;;2025-12-28 14:40:42;"complete";1;0;4;4;0;0;2.31
416;;;"base";"interview";2025-12-28 16:40:17;4;3;2;4;4;2;2;3;4;3;2;2;"23";5;3;1;2;5;1;5;4;4;3;4;6;6;6;6;5;5;41;94;19;159;;2025-12-28 16:42:56;"complete";1;0;4;4;0;0;1.46
419;;;"base";"interview";2025-12-29 11:06:44;4;3;2;2;4;4;4;3;4;2;1;2;"25";6;5;6;5;5;4;2;1;4;1;4;5;6;6;5;2;9;39;83;15;146;;2025-12-29 11:09:10;"complete";1;0;4;4;0;0;1.43
421;;;"base";"interview";2025-12-29 21:49:33;4;3;4;2;4;4;4;4;3;2;1;2;"31";6;6;6;5;6;5;2;3;2;2;1;5;6;7;7;2;44;227;216;34;362;;2025-12-29 21:58:14;"complete";1;0;4;4;0;0;0.44
423;;;"base";"interview";2025-12-30 12:05:19;2;3;2;4;4;3;4;4;3;2;2;2;"25";6;5;5;6;3;5;6;3;5;4;2;6;6;6;6;5;12;50;319;13;394;;2025-12-30 12:11:53;"complete";1;0;4;4;0;0;1.04
426;;;"base";"interview";2025-12-30 21:16:48;2;3;3;5;4;5;3;4;5;2;2;3;"22";3;5;4;6;4;5;4;4;4;5;4;6;4;3;3;3;7;47;80;25;159;;2025-12-30 21:19:27;"complete";1;0;4;4;0;0;1.29
429;;;"base";"interview";2025-12-31 02:55:29;4;3;5;3;3;4;2;4;3;2;1;3;"37";7;2;2;3;3;2;5;6;6;4;3;1;3;2;2;1;8;81;91;24;204;;2025-12-31 02:58:54;"complete";1;0;4;4;0;0;1.06
430;;;"base";"interview";2025-12-31 11:14:00;4;5;3;5;4;3;4;4;4;4;2;2;"35";4;5;7;4;5;5;5;6;6;5;5;5;6;5;5;6;3;8;12;1096;45;;2025-12-31 11:32:39;"complete";1;0;4;4;0;0;2.17
432;;;"base";"interview";2025-12-31 17:20:32;4;4;3;3;3;4;5;5;3;1;1;2;"25";5;7;5;7;4;7;5;7;6;5;5;7;6;2;7;1;24;65;100;25;214;;2025-12-31 17:24:06;"complete";1;0;4;4;0;0;0.9
434;;;"base";"interview";2026-01-01 13:52:51;3;1;5;1;4;2;2;4;2;2;2;4;"25";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;85;30;26;143;;2026-01-01 13:55:14;"complete";1;0;4;4;0;0;1.91
436;;;"base";"interview";2026-01-02 16:30:36;3;2;3;3;4;2;5;3;2;4;1;2;"26";7;3;5;2;3;3;4;5;3;3;1;2;5;4;5;3;3;52;68;20;143;;2026-01-02 16:33:00;"complete";1;0;4;4;0;0;1.76
441;;;"base";"interview";2026-01-03 14:16:45;5;4;4;3;3;4;5;4;5;4;2;1;"22";5;5;6;6;5;6;5;4;6;6;5;5;6;6;5;5;3;9;11;186;45;;2026-01-03 14:20:14;"complete";1;0;4;4;0;0;2.2
442;;;"base";"interview";2026-01-03 16:21:18;3;3;2;3;4;4;5;4;4;2;1;2;"24";6;5;5;4;5;7;5;2;4;2;2;4;6;6;6;4;13;63;140;13;229;;2026-01-03 16:25:07;"complete";1;0;4;4;0;0;1.09
443;;;"base";"interview";2026-01-03 18:22:38;2;2;2;2;2;3;2;3;3;2;2;3;"27";5;5;1;3;2;2;2;2;2;2;2;5;5;4;5;4;16;49;79;23;167;;2026-01-03 18:25:25;"complete";1;0;4;4;0;0;1.14
450;;;"base";"interview";2026-01-04 20:19:30;5;2;3;2;5;5;4;5;3;2;2;1;"27";7;6;2;4;6;7;6;7;5;5;3;6;7;6;4;3;264;2658;86;16;178;;2026-01-04 21:09:55;"complete";1;0;4;4;0;0;0.75
452;;;"base";"interview";2026-01-04 21:02:36;5;1;3;4;4;4;3;4;3;4;;;;;;;;;;;;;;;;;;;;4;66;;;70;;2026-01-04 21:03:46;;0;0;2;2;0;0;1.52
453;;;"base";"interview";2026-01-04 21:02:38;4;2;3;2;1;4;4;4;2;3;1;4;"16";5;5;3;5;6;3;3;5;4;5;5;7;7;6;5;5;14;42;98;15;169;;2026-01-04 21:05:27;"complete";1;0;4;4;0;0;1.26
454;;;"base";"interview";2026-01-04 21:02:49;4;2;4;3;4;4;5;4;5;1;2;3;"15";6;6;7;5;7;5;4;4;4;4;4;5;7;5;6;5;7;99;232;21;359;;2026-01-04 21:08:48;"complete";1;0;4;4;0;0;0.86
456;;;"base";"interview";2026-01-05 09:28:50;2;3;3;3;4;4;2;4;4;3;1;3;"24";3;5;5;5;4;6;3;3;3;2;2;4;5;6;6;3;6;82;345;38;471;;2026-01-05 09:36:41;"complete";1;0;4;4;0;0;0.78
458;;;"base";"interview";2026-01-05 20:08:45;5;4;2;4;5;5;5;5;4;5;2;2;"28";6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;18;38;51;17;124;;2026-01-05 20:10:49;"complete";1;0;4;4;0;0;1.54
459;;;"base";"interview";2026-01-05 20:10:39;2;3;2;3;3;4;3;4;3;4;2;4;"33";7;4;6;5;4;5;2;3;4;4;4;4;6;4;4;5;7;10;13;18;48;;2026-01-05 20:11:27;"complete";1;0;4;4;0;0;2.09
460;;;"base";"interview";2026-01-05 20:28:06;3;2;3;3;4;2;2;4;3;2;2;1;"25";3;6;5;5;5;6;6;5;6;6;3;1;1;2;7;2;4;75;161;30;270;;2026-01-05 20:32:36;"complete";1;0;4;4;0;0;1.12
463;;;"base";"interview";2026-01-06 00:53:38;1;1;2;3;4;4;2;3;2;1;2;4;"23";4;5;5;3;5;4;4;5;3;3;2;4;4;4;6;4;12;46;99;22;179;;2026-01-06 00:56:37;"complete";1;0;4;4;0;0;1.13
464;;;"base";"interview";2026-01-06 02:33:38;3;4;4;4;4;4;3;4;5;5;1;3;"26";5;2;6;7;6;3;7;7;6;1;4;7;7;6;7;7;12;74;163;19;268;;2026-01-06 02:38:07;"complete";1;0;4;4;0;0;0.89
465;;;"base";"interview";2026-01-06 09:26:56;2;4;3;4;3;4;4;4;4;4;1;1;"29";6;5;6;3;6;6;5;5;4;3;3;6;6;6;6;6;2;77;284;11;374;;2026-01-06 09:33:10;"complete";1;0;4;4;0;0;1.59
466;;;"base";"interview";2026-01-06 09:43:19;4;2;2;3;4;4;4;4;4;4;2;2;"23";5;7;7;7;7;6;5;5;5;2;2;6;6;6;5;2;3;27;63;12;105;;2026-01-06 09:45:04;"complete";1;0;4;4;0;0;2.29
472;;;"base";"interview";2026-01-06 14:19:23;2;4;2;3;4;5;4;4;4;2;2;3;"20";5;5;6;5;6;3;3;3;5;3;4;6;6;6;6;6;13;95;177;70;307;;2026-01-06 14:25:18;"complete";1;0;4;4;0;0;0.6
473;;;"base";"interview";2026-01-06 14:22:51;3;2;2;4;4;4;4;4;3;3;2;1;"54";6;4;5;5;5;5;3;3;5;4;3;6;7;7;7;6;71;125;161;57;351;;2026-01-06 14:29:45;"complete";1;0;4;4;0;0;0.47
477;;;"base";"interview";2026-01-06 14:34:35;3;3;3;4;5;4;4;3;4;2;2;3;"21";6;7;7;7;7;5;5;4;4;2;4;6;6;5;7;5;19;62;140;22;243;;2026-01-06 14:38:38;"complete";1;0;4;4;0;0;0.87
479;;;"base";"interview";2026-01-06 14:36:52;4;2;2;3;5;4;3;3;3;2;1;4;"22";5;2;3;2;3;2;1;1;1;5;3;1;1;1;1;1;25;60;100;14;199;;2026-01-06 14:40:11;"complete";1;0;4;4;0;0;1.09
484;;;"base";"interview";2026-01-06 14:45:25;2;1;2;2;2;2;2;1;1;3;2;2;"53";3;1;4;1;4;4;1;2;2;2;4;1;1;1;1;1;6;58;93;39;196;;2026-01-06 14:48:41;"complete";1;0;4;4;0;0;1.13
486;;;"base";"interview";2026-01-06 15:17:34;4;4;3;3;5;5;2;4;3;3;2;2;"20";7;5;5;4;6;7;6;4;6;2;6;7;6;7;7;6;19;101;186;33;339;;2026-01-06 15:23:13;"complete";1;0;4;4;0;0;0.62
487;;;"base";"interview";2026-01-06 15:26:05;2;2;3;5;5;1;3;3;4;3;2;4;"43";4;6;2;5;3;5;6;3;3;3;2;5;7;6;7;6;5;70;189;27;291;;2026-01-06 15:30:56;"complete";1;0;4;4;0;0;1.03
490;;;"base";"interview";2026-01-06 15:46:16;2;2;4;2;4;4;3;4;4;4;2;2;"20";5;3;5;5;6;5;1;2;1;2;1;5;5;5;6;3;6;1336;106;12;192;;2026-01-06 16:10:36;"complete";1;0;4;4;0;0;1.12
493;;;"base";"interview";2026-01-06 16:06:20;4;2;3;3;4;5;5;3;4;3;2;4;"22";6;2;3;3;3;1;2;3;3;4;2;6;6;6;6;6;20;76;140;26;262;;2026-01-06 16:10:42;"complete";1;0;4;4;0;0;0.78
497;;;"base";"interview";2026-01-06 16:28:47;3;2;4;3;2;4;5;4;3;4;2;2;"53";6;7;7;5;6;7;4;5;1;1;2;1;7;7;7;3;25;105;187;31;348;;2026-01-06 16:34:35;"complete";1;0;4;4;0;0;0.6
499;;;"base";"interview";2026-01-06 16:55:17;3;4;1;5;5;3;5;2;3;1;;;;;;;;;;;;;;;;;;;;5;100;;;105;;2026-01-06 16:57:02;;0;0;2;2;0;0;1.14
507;;;"base";"interview";2026-01-06 17:53:11;5;1;4;3;4;4;5;4;5;5;1;1;"33";6;7;7;6;6;5;1;6;7;5;7;1;2;2;2;2;4;97;161;24;286;;2026-01-06 17:57:57;"complete";1;0;4;4;0;0;1.11
508;;;"base";"interview";2026-01-06 17:56:09;5;4;2;4;4;3;4;3;4;3;;;;;;;;;;;;;;;;;;;;6;75;;;81;;2026-01-06 17:57:30;;0;0;2;2;0;0;1.12
511;;;"base";"interview";2026-01-06 19:25:01;5;5;4;5;4;4;4;5;4;2;2;3;"22";5;3;5;4;5;2;6;5;5;6;5;5;5;6;6;7;6;45;70;25;146;;2026-01-06 19:27:27;"complete";1;0;4;4;0;0;1.41
513;;;"base";"interview";2026-01-06 19:43:52;4;3;4;4;3;3;4;4;4;3;2;3;"15";5;1;3;2;3;3;3;4;3;3;4;5;5;4;5;5;79;103;195;48;354;;2026-01-06 19:50:57;"complete";1;0;4;4;0;0;0.48
515;;;"base";"interview";2026-01-06 20:15:32;3;4;4;4;5;5;3;4;5;5;2;3;"50";6;5;6;4;5;7;3;3;4;2;3;6;6;5;6;4;7;65;115;74;209;;2026-01-06 20:19:53;"complete";1;0;4;4;0;0;0.92
519;;;"base";"interview";2026-01-06 20:51:35;3;3;3;5;5;5;3;4;5;2;2;2;"27";5;5;3;2;2;4;4;3;3;2;5;4;6;5;6;5;7;1129;271;72;368;;2026-01-06 21:16:14;"complete";1;0;4;4;0;0;0.5
521;;;"base";"interview";2026-01-06 22:13:18;3;4;4;4;2;4;4;4;4;4;2;1;"43";5;6;5;5;5;5;5;6;5;3;3;6;6;6;6;6;12;93;151;23;279;;2026-01-06 22:17:57;"complete";1;0;4;4;0;0;0.81
525;;;"base";"interview";2026-01-06 22:35:01;4;4;2;3;4;4;2;4;4;4;2;1;"52";5;6;5;4;4;6;6;5;6;2;4;7;7;6;6;5;5;125;106;22;258;;2026-01-06 22:39:19;"complete";1;0;4;4;0;0;1.1
528;;;"base";"interview";2026-01-07 11:11:58;4;4;3;3;4;3;2;3;3;2;2;3;"20";5;6;4;5;5;3;3;2;2;2;3;2;6;5;5;5;6;94;263;30;393;;2026-01-07 11:18:31;"complete";1;0;4;4;0;0;0.83
531;;;"base";"interview";2026-01-07 12:55:06;2;1;2;2;3;3;1;2;3;2;1;2;"35";5;6;6;6;6;6;2;2;2;1;2;4;2;3;2;3;299;128;980;34;305;;2026-01-07 13:19:07;"complete";1;0;4;4;0;0;0.34
532;;;"base";"interview";2026-01-07 12:55:17;2;4;4;2;4;4;5;3;4;5;2;4;"33";5;5;2;4;5;2;2;5;6;6;3;3;7;3;2;3;8;70;324;21;423;;2026-01-07 13:02:20;"complete";1;0;4;4;0;0;0.86
537;;;"base";"interview";2026-01-07 13:08:17;2;1;4;2;4;2;4;3;2;2;1;2;"35";4;5;4;6;5;2;3;2;3;2;1;1;1;6;2;3;81;104;220;46;378;;2026-01-07 13:15:48;"complete";1;0;4;4;0;0;0.46
539;;;"base";"interview";2026-01-07 13:42:31;3;2;2;4;4;2;2;4;3;2;1;3;"28";5;6;6;3;3;2;2;1;2;3;1;7;5;7;5;5;2817;81;144;18;251;;2026-01-07 14:33:31;"complete";1;0;4;4;0;0;0.75
541;;;"base";"interview";2026-01-07 14:48:01;2;1;2;3;4;4;3;3;4;3;1;1;"26";6;5;4;5;5;2;3;3;4;7;1;2;3;3;6;5;8;68;135;15;226;;2026-01-07 14:51:47;"complete";1;0;4;4;0;0;1.12
542;;;"base";"interview";2026-01-07 15:35:02;3;2;4;4;4;4;4;4;3;4;1;3;"26";6;6;7;3;6;6;4;6;6;2;4;5;6;6;6;5;15;95;150;27;287;;2026-01-07 15:39:50;"complete";1;0;4;4;0;0;0.74
543;;;"base";"interview";2026-01-07 19:13:00;1;3;4;4;4;5;3;1;4;1;2;3;"29";5;7;5;5;5;7;7;7;7;7;5;7;7;6;7;6;4;922;337;232;431;;2026-01-07 19:37:55;"complete";1;0;4;4;0;0;0.64
544;;;"base";"interview";2026-01-07 19:13:25;3;3;4;5;4;4;5;5;5;4;2;3;"25";6;7;7;7;3;6;7;3;5;6;4;7;7;7;7;3;70;479;570;337;233;;2026-01-07 19:37:41;"complete";1;0;4;4;0;0;0.14
546;;;"base";"interview";2026-01-07 19:29:14;3;1;3;3;3;3;3;3;3;3;4;4;"23";4;4;1;4;4;4;4;4;4;4;4;7;4;4;4;4;21;94;127;43;285;;2026-01-07 19:33:59;"complete";1;0;4;4;0;0;0.67
547;;;"base";"interview";2026-01-07 19:49:28;4;4;4;4;4;4;3;4;5;5;2;2;"23";6;6;5;4;3;5;5;4;4;5;4;5;7;6;7;5;3;56;217;21;297;;2026-01-07 19:54:25;"complete";1;0;4;4;0;0;1.39
549;;;"base";"interview";2026-01-07 22:31:44;5;3;3;4;4;4;4;4;4;4;1;3;"22";5;5;5;5;5;4;4;4;4;5;3;5;5;6;5;4;4;48;89;16;157;;2026-01-07 22:34:21;"complete";1;0;4;4;0;0;1.58
550;;;"base";"interview";2026-01-08 22:04:59;4;2;4;4;5;4;4;4;4;3;2;3;"25";2;2;2;3;3;5;4;3;7;1;2;4;7;7;6;1;5;53;78;24;160;;2026-01-08 22:07:39;"complete";1;0;4;4;0;0;1.38
555;;;"base";"interview";2026-01-09 15:45:15;2;1;2;2;3;3;2;3;3;1;1;1;"32";3;2;2;2;2;1;5;5;5;7;2;2;3;3;3;2;21;49;212;16;298;;2026-01-09 15:50:14;"complete";1;0;4;4;0;0;0.95
556;;;"base";"interview";2026-01-09 16:39:53;4;2;2;4;4;3;4;4;3;4;1;2;"22";5;6;7;6;6;5;4;2;5;2;3;6;6;6;7;6;10;48;70;14;142;;2026-01-09 16:42:15;"complete";1;0;4;4;0;0;1.43
562;;;"base";"interview";2026-01-10 04:54:26;2;2;3;3;1;5;4;4;3;1;3;3;"24";3;2;5;1;3;6;1;1;1;1;3;5;4;7;5;5;8;76;141;18;243;;2026-01-10 04:58:30;"complete";1;0;4;4;0;0;1.02
563;;;"base";"interview";2026-01-10 10:28:16;4;2;3;2;4;3;2;4;3;4;1;3;"25";5;5;5;2;3;4;3;1;1;1;1;1;1;3;3;2;6;57;90;76;175;;2026-01-10 10:32:06;"complete";1;0;4;4;0;0;1.08
564;;;"base";"interview";2026-01-10 13:07:52;4;5;2;4;4;4;2;1;4;2;1;3;"26";5;4;6;5;2;6;1;1;2;2;1;7;6;7;7;6;2;43;80;15;140;;2026-01-10 13:10:12;"complete";1;0;4;4;0;0;1.93
565;;;"base";"interview";2026-01-10 14:06:11;4;4;4;4;4;4;4;4;4;4;2;3;"24";3;5;3;5;5;3;3;3;5;5;5;5;5;5;5;5;17;29;80;24;150;;2026-01-10 14:08:41;"complete";1;0;4;4;0;0;1.35
566;;;"base";"interview";2026-01-10 19:34:42;2;2;1;3;4;2;3;4;3;3;2;2;"25";3;6;5;4;5;6;1;3;1;1;1;3;6;4;5;1;3;70;103;14;190;;2026-01-10 19:37:52;"complete";1;0;4;4;0;0;1.63
571;;;"base";"interview";2026-01-11 17:45:56;3;2;3;3;2;4;4;4;4;4;2;1;"25";7;2;4;5;3;5;3;5;1;2;1;6;7;5;6;5;7;47;92;13;159;;2026-01-11 17:48:35;"complete";1;0;4;4;0;0;1.44
572;;;"base";"interview";2026-01-11 21:14:58;3;4;2;4;3;4;4;4;4;2;2;2;"25";7;4;3;4;3;5;5;5;5;3;3;6;7;6;6;3;25;53;103;15;196;;2026-01-11 21:18:14;"complete";1;0;4;4;0;0;1.1
573;;;"base";"interview";2026-01-11 21:15:13;3;2;4;3;4;3;4;3;3;3;1;3;"24";6;4;6;5;3;5;3;3;3;4;4;7;6;6;6;6;6;87;227;27;347;;2026-01-11 21:21:00;"complete";1;0;4;4;0;0;0.88
574;;;"base";"interview";2026-01-11 21:47:44;3;2;3;4;4;2;3;3;4;4;1;2;"23";5;6;6;5;6;6;5;4;4;3;5;5;6;6;5;4;3;33;64;20;120;;2026-01-11 21:49:44;"complete";1;0;4;4;0;0;1.98
576;;;"base";"interview";2026-01-11 23:15:55;3;3;3;3;5;4;4;3;4;2;2;2;"26";5;6;6;6;6;5;6;5;6;4;4;6;6;6;6;4;31;93;119;21;264;;2026-01-11 23:20:19;"complete";1;0;4;4;0;0;0.79
577;;;"base";"interview";2026-01-11 23:59:15;3;1;1;4;4;1;3;3;4;2;1;4;"35";5;5;4;4;1;6;4;4;1;4;4;6;4;6;6;6;3;158;310;136;493;;2026-01-12 00:09:22;"complete";1;0;4;4;0;0;0.92
578;;;"base";"interview";2026-01-12 08:43:02;4;5;3;5;5;5;5;3;5;1;2;1;"22";7;7;2;7;7;4;6;3;7;6;4;6;7;7;7;7;22;45;164;17;248;;2026-01-12 08:47:11;"complete";1;0;4;4;0;0;1
579;;;"base";"interview";2026-01-12 13:20:45;3;4;3;4;4;4;4;4;4;2;2;2;"22";5;3;3;3;5;5;6;6;5;5;5;6;5;5;6;5;3;54;133;20;210;;2026-01-12 13:24:15;"complete";1;0;4;4;0;0;1.51
580;;;"base";"interview";2026-01-12 16:10:09;2;3;3;4;4;4;4;3;4;2;2;2;"23";6;7;7;5;7;7;4;5;1;1;1;7;7;7;7;7;2;46;78;20;146;;2026-01-12 16:12:36;"complete";1;0;4;4;0;0;1.83
581;;;"base";"interview";2026-01-12 16:57:09;3;3;4;3;3;4;3;4;3;4;2;3;"27";4;5;4;5;4;4;5;4;4;4;4;5;4;5;5;5;4;55;132;48;239;;2026-01-12 17:01:08;"complete";1;0;4;4;0;0;1.18
582;;;"base";"interview";2026-01-12 20:12:49;4;3;3;3;5;3;3;4;4;3;2;1;"32";3;5;4;4;5;5;5;5;3;4;3;4;5;5;4;4;4;25;19;141;70;;2026-01-12 20:15:58;"complete";1;0;4;4;0;0;1.97
584;;;"base";"interview";2026-01-13 11:00:08;4;1;1;2;5;2;4;3;2;2;1;3;"32";5;5;5;3;5;6;5;4;2;5;3;3;6;4;5;4;39;77;156;48;320;;2026-01-13 11:05:28;"complete";1;0;4;4;0;0;0.6
585;;;"base";"interview";2026-01-13 11:56:17;4;2;1;3;5;1;4;2;3;4;2;4;"21";6;5;5;7;6;6;4;3;4;4;4;2;7;2;7;4;10;67;207;20;304;;2026-01-13 12:01:21;"complete";1;0;4;4;0;0;0.89
586;;;"base";"interview";2026-01-13 12:15:20;2;3;2;3;2;3;3;4;2;2;1;4;"35";7;4;2;5;2;3;5;3;4;6;5;1;1;5;2;2;4;59;2268;38;236;;2026-01-13 12:54:49;"complete";1;0;4;4;0;0;0.95
588;;;"base";"interview";2026-01-13 14:11:18;4;2;1;5;5;4;4;5;5;2;2;2;"26";6;4;6;5;7;5;3;6;4;1;6;5;4;3;3;4;4;33;46;16;99;;2026-01-13 14:12:57;"complete";1;0;4;4;0;0;2.09
589;;;"base";"interview";2026-01-13 16:22:05;4;3;3;3;4;2;4;4;3;4;2;3;"24";6;6;4;5;5;3;4;4;4;1;2;5;6;6;5;6;7;43;134;32;216;;2026-01-13 16:25:41;"complete";1;0;4;4;0;0;1.1
590;;;"base";"interview";2026-01-13 17:58:54;5;4;2;5;4;5;3;5;4;5;1;1;"25";7;2;3;2;1;6;6;7;7;7;7;7;7;6;7;5;3;53;85;31;172;;2026-01-13 18:01:46;"complete";1;0;4;4;0;0;1.56
591;;;"base";"interview";2026-01-13 18:28:20;4;4;2;3;5;4;3;3;4;4;1;3;"23";3;6;6;4;5;5;4;4;6;3;5;4;6;5;6;5;4;16;24;12;56;;2026-01-13 18:29:16;"complete";1;0;4;4;0;0;2.46
592;;;"base";"interview";2026-01-13 18:29:20;2;2;2;3;4;2;1;2;3;2;2;1;"24";5;6;5;5;6;5;2;2;2;2;1;5;6;5;4;4;74;45;103;19;175;;2026-01-13 18:33:21;"complete";1;0;4;4;0;0;1.02
593;;;"base";"interview";2026-01-13 18:38:00;2;2;1;4;4;4;3;4;4;1;2;3;"25";1;5;1;5;4;5;2;1;2;1;1;1;5;7;7;1;82;81;93;15;197;;2026-01-13 18:42:31;"complete";1;0;4;4;0;0;0.96
596;;;"base";"interview";2026-01-14 00:16:15;2;2;2;1;5;4;4;4;5;4;2;1;"26";6;5;2;4;5;2;2;1;2;6;3;2;3;2;2;2;6;81;173;89;282;;2026-01-14 00:22:04;"complete";1;0;4;4;0;0;0.8
597;;;"base";"interview";2026-01-14 00:51:56;3;2;1;3;2;4;5;3;4;2;1;1;"24";6;4;5;5;6;6;4;5;6;5;2;7;7;5;4;6;24;47;80;22;173;;2026-01-14 00:54:49;"complete";1;0;4;4;0;0;1.12
